时间,SZ161226,SZ162719,SZ161129,SH501018,SZ160416,SZ160723,SZ162411,SH501225,SZ161815,SZ161116,SZ163208,SZ161128,SZ161130,SZ160216,SZ165513,SZ161125,SH501312,SZ164701,SZ160719,SZ160140,SZ161127,SH501043,SZ161126,SZ162415,SZ161831,SZ164824,SZ164705,SH501300,SZ164906,SZ160924,SZ161124,SH501302,SZ160717,SH501025,SZ160644
2026-03-31 08:54,34.23,25.78,24.61,23.96,22.05,20.43,9.98,8.93,7.21,7.06,6.9,4.17,2.69,2.47,2.22,2.01,1.56,1.29,0.85,0.71,0.65,0.62,0.58,0.37,-0.35,-0.39,-0.42,-0.54,-0.59,-0.76,-0.77,-0.84,-0.95,-0.96,-1.24
2026-03-31 09:09,34.23,25.78,24.61,23.96,22.05,20.43,9.98,8.93,7.21,7.06,6.9,4.17,2.69,2.47,2.22,2.01,1.56,1.29,0.85,0.71,0.65,0.62,0.58,0.37,-0.35,-0.39,-0.42,-0.54,-0.59,-0.76,-0.77,-0.84,-0.95,-0.96,-1.24
2026-04-01 04:25,31.13,29.96,19.02,18.89,17.81,16.79,15.15,8.87,8.69,7.61,5.5,2.01,1.67,1.47,1.23,1.2,1.04,0.92,0.53,0.26,0.24,0.18,0.1,-0.06,-0.08,-0.16,-0.26,-0.28,-0.29,-0.36,-0.38,-0.64,-0.77,-1.19,-1.73
2026-04-01 06:53,39.65,19.16,15.01,12.6,11.44,10.26,9.93,8.42,8.22,4.15,3.43,2.41,2.02,1.96,1.85,1.8,1.49,1.43,1.17,1.0,0.7,0.64,0.48,0.41,0.08,-0.1,-0.14,-0.26,-0.38,-0.39,-0.39,-0.43,-0.69,-1.1,-1.66
2026-04-02 04:03,34.24,26.4,25.76,25.32,24.17,22.3,19.84,10.92,9.22,7.67,4.55,4.37,1.66,1.4,0.96,0.91,0.87,0.86,0.78,0.74,0.57,0.5,0.34,0.05,-0.4,-0.44,-0.44,-0.52,-1.23,-1.35,-1.6,-1.64,-1.83,-1.99,-2.13
2026-04-02 06:18,32.66,28.07,27.69,27.16,24.45,24.27,23.44,11.45,10.18,9.04,3.51,2.25,0.59,0.16,0.09,-0.12,-0.13,-0.14,-0.18,-0.31,-0.37,-0.39,-0.42,-0.6,-0.66,-0.68,-0.74,-1.36,-1.72,-1.78,-1.92,-2.33,-2.36,-3.53,-3.84
2026-04-03 04:04,35.81,30.99,30.85,28.08,28.04,27.52,11.42,10.46,8.89,5.3,4.45,2.92,1.21,1.12,0.8,0.13,0.12,-0.19,-0.24,-0.26,-0.29,-0.35,-0.45,-0.47,-0.59,-0.59,-0.61,-0.8,-0.8,-0.84,-0.98,-1.02,-1.06,-1.1,-1.12
2026-04-03 06:18,36.15,27.06,25.69,25.44,23.38,22.44,4.17,3.84,3.84,3.84,3.66,1.14,1.11,0.86,0.77,0.12,-0.2,-0.23,-0.24,-0.39,-0.57,-0.69,-0.69,-0.76,-0.77,-0.8,-0.89,-0.97,-0.98,-1.08,-1.13,-1.16,-1.3,-1.37,-1.62
2026-04-06 04:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-06 07:01,36.63,30.99,29.4,27.85,24.64,23.46,4.07,3.91,3.64,3.05,2.89,1.43,1.11,0.88,0.67,0.15,-0.14,-0.17,-0.18,-0.42,-0.48,-0.5,-0.57,-0.6,-0.75,-0.82,-0.85,-0.9,-1.04,-1.08,-1.16,-1.39,-1.41,-1.56,-99.96
2026-04-07 04:08,857.02,36.79,35.78,35.25,32.37,28.17,25.41,4.74,4.47,2.66,1.25,1.18,1.1,0.96,0.26,-0.13,-0.23,-0.26,-0.45,-0.47,-0.65,-0.66,-0.77,-0.82,-0.86,-0.99,-1.0,-1.09,-1.13,-1.13,-1.16,-1.26,-1.31,-99.96,
2026-04-07 06:45,858.91,37.61,37.59,35.6,32.22,27.16,22.68,4.69,4.16,2.78,1.31,1.0,0.96,0.59,0.27,0.24,-0.13,-0.15,-0.2,-0.35,-0.68,-0.71,-0.75,-0.77,-0.82,-0.87,-0.99,-1.08,-1.16,-1.25,-1.34,-1.36,-1.55,-99.96,
2026-04-08 04:11,44.35,24.37,24.05,20.08,12.93,9.83,9.17,6.25,4.34,3.44,3.21,3.0,2.62,2.59,2.44,2.24,1.81,1.75,1.73,1.29,1.11,0.57,0.47,-0.26,-0.53,-0.78,-0.78,-0.79,-0.84,-1.52,-2.45,-2.56,-4.71,-5.09,-99.96
